Transcript,Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT1G32370.1,AT1G32370,TTM1,5.50,UP,6.99,0.5580,tobamovirus multiplication 2B protein
AT1G32400.1,AT1G32400,TOM2A,1.12,DOWN,11.93,1,tobamovirus multiplication 2A protein
AT1G32450.1,AT1G32450,NRT1.5,2.24,UP,12.79,0.0516,nitrate transporter 1.5
AT1G32460.1,AT1G32460,,6.77,DOWN,12.30,0.1803,uncharacterized protein
AT1G32470.1,AT1G32470,,1.23,DOWN,106.80,0.4409,glycine cleavage system H protein
AT1G32530.1,AT1G32530,,6.23,UP,4.62,0.1718,MND1-interacting protein 1
AT1G32550.1,AT1G32550,FdC1,1.55,UP,17.77,0.6199,ferredoxin
AT1G32580.1,AT1G32580,,1.25,UP,15.16,0.9057,putative plastid developmental protein DAG
AT1G32640.1,AT1G32640,RD22BP1,2.14,UP,8.45,0.2065,transcription factor MYC2
AT1G32700.1,AT1G32700,,1.98,UP,18.32,0.3142,PLATZ transcription factor domain-containing protein
AT1G32790.1,AT1G32790,CID11,1.52,DOWN,22.82,0.3762,CTC-interacting domain 11 protein
AT1G32900.1,AT1G32900,,2.34,UP,8.74,0.1541,granule-bound starch synthase
AT1G32920.1,AT1G32920,,3.36,DOWN,49.81,0.1727,uncharacterized protein
AT1G32928.1,AT1G32928,,2.78,DOWN,19.63,0.4848,uncharacterized protein
AT1G33040.1,AT1G33040,NACA5,1.94,UP,21.76,0.4306,Nascent polypeptide-associated complex subunit alpha-like protein 5
AT1G33055.1,AT1G33055,,3.07,DOWN,12.61,0.2617,uncharacterized protein
AT1G33110.1,AT1G33110,,1.00,DOWN,11.76,1,MATE efflux family protein
AT1G33120.1,AT1G33120,,1.08,DOWN,35.88,1,60S ribosomal protein L9-1
AT1G33230.1,AT1G33230,,2.12,UP,8.26,0.4552,TMPIT-like protein
AT1G33240.1,AT1G33240,AT-GTL1,2.50,UP,8.63,0.0464,protein GT-2-like 1
AT1G33265.1,AT1G33265,,1.33,UP,8.89,1,Transmembrane proteins 14C
AT1G33290.2,AT1G33290,,2.60,UP,9.81,0.6767,putative stage III sporulation protein AA
AT1G33470.1,AT1G33470,,3.37,UP,7.79,0.5672,RNA recognition motif-containing protein
AT1G33520.1,AT1G33520,MOS2,1.05,UP,13.69,1,protein MOS2
AT1G33590.1,AT1G33590,,1.16,DOWN,30.95,0.7773,leucine-rich repeat-containing protein
AT1G33780.1,AT1G33780,,1.43,DOWN,7.61,0.7321,uncharacterized protein
AT1G33810.1,AT1G33810,,1.18,UP,83.55,0.7824,uncharacterized protein
AT1G33811.1,AT1G33811,,3.08,DOWN,27.00,0.0038,GDSL esterase/lipase
AT1G33970.1,AT1G33970,,24.20,UP,9.04,0.4305,AIG1 domain-containing protein
AT1G33980.1,AT1G33980,UPF3,1.85,UP,6.08,0.4339,Smg-4/UPF3-like protein
AT1G33990.1,AT1G33990,ATMES14,1.11,DOWN,11.24,1,methyl esterase 14
AT1G34000.1,AT1G34000,OHP2,3.10,DOWN,64.47,0.0011,one-helix protein 2
AT1G34030.1,AT1G34030,,1.47,DOWN,78.91,0.1546,40S ribosomal protein S18
AT1G34245.1,AT1G34245,EPF2,6.72,UP,5.89,0.5672,protein EPIDERMAL PATTERNING FACTOR 2
AT1G34418.1,AT1G34418,,2.44,DOWN,31.44,0.5347,other RNA
AT1G34430.1,AT1G34430,EMB3003,1.18,DOWN,50.73,0.5786,pyruvate dehydrogenase E2 component
AT1G35190.1,AT1G35190,,1.18,UP,8.07,1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase-like protein
AT1G35420.1,AT1G35420,,1.62,UP,41.66,0.1665,alpha/beta-hydrolase domain-containing protein
AT1G35430.1,AT1G35430,,1.32,UP,17.00,1,uncharacterized protein
AT1G35460.1,AT1G35460,,1.37,UP,7.86,0.8613,transcription factor bHLH80
AT1G35516.1,AT1G35516,,10.97,DOWN,14.85,0.1347,myb-like transcription factor family protein
AT1G35580.1,AT1G35580,CINV1,48667.90,DOWN,12.50,0.5672,cytosolic invertase 1
AT1G35580.2,AT1G35580,CINV1,230.45,UP,11.07,0.5672,cytosolic invertase 1
AT1G35620.1,AT1G35620,PDI8,1.28,DOWN,14.92,0.7328,protein PDI-like 5-2
AT1G35680.1,AT1G35680,,1.51,DOWN,140.90,0.0340,50S ribosomal protein L21
AT1G35720.1,AT1G35720,ANNAT1,1.00,UP,150.15,1,annexin D1
AT1G36050.2,AT1G36050,,1.25,DOWN,8.11,0.9398,Endoplasmic reticulum vesicle transporter protein
AT1G36160.2,AT1G36160,PAS3,929.96,UP,5.27,0.5672,acetyl-CoA carboxylase 1
AT1G36320.1,AT1G36320,,1.09,UP,10.30,1,uncharacterized protein
AT1G36370.1,AT1G36370,SHM7,2.30,UP,8.01,0.2197,serine hydroxymethyltransferase 7
AT1G36390.2,AT1G36390,,3.37,UP,6.01,0.5531,co-chaperone grpE-like protein
AT1G36732.1,AT1G36732,AT1G36730,1.20,DOWN,18.69,0.6906,conserved peptide upstream open reading frame 19
AT1G36980.1,AT1G36980,,2.13,DOWN,85.03,0.0464,uncharacterized protein
AT1G37130.1,AT1G37130,NR,1.26,DOWN,196.02,0.0011,Nitrate reductase (NADH)
AT1G41830.1,AT1G41830,SKS6,2.32,DOWN,21.17,0.0069,SKU5 similar 6
AT1G41880.1,AT1G41880,,1.43,DOWN,150.00,0.0751,60S ribosomal protein L35a-2
AT1G42480.1,AT1G42480,,1.40,UP,8.02,1,uncharacterized protein
AT1G42550.1,AT1G42550,PMI1,2.43,UP,15.86,0.0021,plastid movement impaired1
AT1G42960.1,AT1G42960,,1.73,DOWN,91.48,0.0579,uncharacterized protein
AT1G42970.1,AT1G42970,GAPB,1.55,DOWN,421.21,0.0011,glyceraldehyde-3-phosphate dehydrogenase B
AT1G42990.1,AT1G42990,BZIP60,1.45,DOWN,45.83,0.3141,bZIP transcription factor 60
AT1G43130.1,AT1G43130,LCV2,2.45,UP,8.68,0.2178,like COV 2 protein
AT1G43190.3,AT1G43190,PTB3,1.24,UP,8.94,0.9189,polypyrimidine tract-binding protein 3
AT1G43560.1,AT1G43560,Aty2,1.26,DOWN,26.32,0.8785,thioredoxin Y2
AT1G43580.1,AT1G43580,,1.75,DOWN,15.37,0.4188,Sphingomyelin synthetase family protein
AT1G43670.1,AT1G43670,,1.03,UP,38.67,1,fructose-1;6-bisphosphatase; cytosolic
AT1G43690.1,AT1G43690,,3.06,UP,7.66,0.1273,ubiquitin interaction motif-containing protein
AT1G43700.1,AT1G43700,VIP1,1.90,DOWN,15.77,0.2826,VIRE2-interacting protein 1
AT1G43710.1,AT1G43710,emb1075,1.10,DOWN,29.27,1,putative group II plp decarboxylase
AT1G43790.1,AT1G43790,TED6,11.19,DOWN,13.42,0.5672,tracheary element differentiation-related 6 protein
AT1G43860.1,AT1G43860,,9.46,UP,5.52,0.4020,sequence-specific DNA binding transcription factor
AT1G43890.1,AT1G43890,ATRAB-C1,2027.02,UP,8.45,0.5672,Ras-related protein Rab-18
AT1G43890.2,AT1G43890,ATRAB-C1,25.93,DOWN,12.15,0.5530,Ras-related protein Rab-18
AT1G43900.1,AT1G43900,,1.60,DOWN,13.38,0.5763,putative protein phosphatase 2C 11
AT1G44000.1,AT1G44000,,2.03,DOWN,29.84,0.0783,uncharacterized protein
AT1G44170.1,AT1G44170,ALDH4,1.01,UP,10.04,1,aldehyde dehydrogenase 3H1
AT1G44446.1,AT1G44446,CAO,1.23,UP,23.41,0.5862,chlorophyllide a oxygenase
AT1G44575.1,AT1G44575,PSBS,1.42,DOWN,575.80,0.0011,photosystem II 22 kDa protein
AT1G44750.1,AT1G44750,ATPUP11,9.42,DOWN,5.13,0.5494,purine permease 11
AT1G44760.1,AT1G44760,,2.10,DOWN,17.37,0.3208,adenine nucleotide alpha hydrolase-like protein
AT1G44770.2,AT1G44770,,2.21,DOWN,9.14,0.5688,uncharacterized protein
AT1G44790.1,AT1G44790,,1.37,DOWN,8.40,0.9696,cation transport protein ChaC
AT1G44920.1,AT1G44920,,1.20,UP,30.56,0.7756,uncharacterized protein
AT1G45000.1,AT1G45000,,1.11,DOWN,13.23,1,AAA-type ATPase family protein
AT1G45145.1,AT1G45145,ATTRX5,2.45,DOWN,79.09,0.1459,thioredoxin H5
AT1G45160.2,AT1G45160,,4.10,UP,5.00,0.0555,protein kinase-like protein
AT1G45165.1,AT1G45165,,4.15,DOWN,17.58,0.4059,uncharacterized protein
AT1G45201.1,AT1G45201,TLL1,2.38,DOWN,43.28,0.0054,triacylglycerol lipase-like 1 protein
AT1G45201.2,AT1G45201,TLL1,2937.78,UP,5.75,0.5672,triacylglycerol lipase-like 1 protein
AT1G45230.1,AT1G45230,,3.06,UP,10.25,0.5672,uncharacterized protein
AT1G45230.2,AT1G45230,,60965.02,DOWN,2.45,0.6773,uncharacterized protein
AT1G45474.1,AT1G45474,LHCA5,16946.71,DOWN,11.98,0.5672,photosystem I light harvesting complex protein 5
AT1G45474.2,AT1G45474,LHCA5,2.16,UP,50.25,0.1179,photosystem I light harvesting complex protein 5
AT1G45688.1,AT1G45688,,1.24,UP,26.41,0.6415,uncharacterized protein
AT1G45976.1,AT1G45976,SBP1,2.09,DOWN,12.72,0.3417,S-ribonuclease binding protein 1
AT1G47128.1,AT1G47128,RD21,1.25,DOWN,140.50,0.0886,cysteine proteinase RD21a
AT1G47200.1,AT1G47200,WPP2,1.22,UP,28.11,0.9039,WPP domain-containing protein 2
AT1G47210.1,AT1G47210,CYCA3,1.97,DOWN,4.93,0.5885,cyclin-A3-2
AT1G47260.1,AT1G47260,APFI,1.24,DOWN,42.65,0.5672,gamma carbonic anhydrase 2
AT1G47278.1,AT1G47278,,2.19,UP,21.66,0.4472,uncharacterized protein
AT1G47395.1,AT1G47395,,1.82,DOWN,48.22,0.5672,uncharacterized protein
AT1G47420.1,AT1G47420,SDH5,1.15,DOWN,60.18,0.7370,succinate dehydrogenase 5
AT1G47480.1,AT1G47480,,10.68,DOWN,4.98,0.5672,alpha/beta-hydrolase domain-containing protein
AT1G47490.1,AT1G47490,ATRBP47C,2.39,UP,8.80,0.2082,RNA-binding protein 47C
AT1G47530.1,AT1G47530,,1.52,DOWN,33.69,0.1045,MATE efflux family protein
AT1G47640.1,AT1G47640,,1.68,DOWN,12.71,0.5672,uncharacterized protein
AT1G47740.1,AT1G47740,,2.43,DOWN,13.81,0.1441,PPPDE putative thiol peptidase family protein
AT1G47750.1,AT1G47750,PEX11A,1.18,UP,7.03,1,peroxisomal membrane protein 11A
AT1G47820.2,AT1G47820,,2.66,DOWN,8.52,0.6523,uncharacterized protein
AT1G47830.1,AT1G47830,,3.15,DOWN,15.34,0.4262,AP-2 complex subunit sigma
AT1G47970.1,AT1G47970,,2.18,UP,65.75,0.0077,uncharacterized protein
AT1G48030.1,AT1G48030,mtLPD1,3.38,UP,44.55,0.0406,dihydrolipoyl dehydrogenase 1
AT1G48030.2,AT1G48030,mtLPD1,2487.29,DOWN,15.89,0.5672,dihydrolipoyl dehydrogenase 1
AT1G48140.2,AT1G48140,,2.43,DOWN,6.72,0.6485,dolichyl-phosphate mannosyltransferase polypeptide 3
AT1G48170.1,AT1G48170,,1.57,DOWN,5.37,1,uncharacterized protein
AT1G48200.1,AT1G48200,,2.36,UP,7.77,0.6067,uncharacterized protein
AT1G48210.1,AT1G48210,,10347.01,DOWN,5.14,0.5672,serine/threonine protein kinase
AT1G48210.2,AT1G48210,,3.63,UP,7.78,0.5618,serine/threonine protein kinase
AT1G48240.1,AT1G48240,ATNPSN12,2.92,UP,8.43,0.2646,Novel plant SNARE 12
AT1G48300.1,AT1G48300,,2.27,UP,66.73,0.0030,uncharacterized protein
AT1G48330.1,AT1G48330,,2.29,UP,10.42,0.6092,uncharacterized protein
AT1G48350.1,AT1G48350,,1.07,UP,378.47,0.7088,50S ribosomal protein L18
AT1G48410.1,AT1G48410,AGO1,1.23,UP,5.33,1,protein argonaute
AT1G48420.1,AT1G48420,D-CDES,1.16,UP,13.17,1,D-cysteine desulfhydrase
AT1G48430.1,AT1G48430,,3.03,UP,5.93,0.2040,Dihydroxyacetone kinase
AT1G48440.1,AT1G48440,,1.30,DOWN,48.92,0.5914,protein B-cell receptor-associated 31-like protein
AT1G48450.1,AT1G48450,,6.59,DOWN,22.49,0.5257,uncharacterized protein
AT1G48450.2,AT1G48450,,198.93,UP,8.57,0.6861,uncharacterized protein
AT1G48480.1,AT1G48480,RKL1,2.69,DOWN,24.82,0.0011,receptor-like kinase 1
AT1G48520.1,AT1G48520,GATB,3.28,UP,5.63,0.5500,aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit B
AT1G48600.1,AT1G48600,PMEAMT,3.91,UP,34.49,0.0021,putative phosphoethanolamine N-methyltransferase 2
AT1G48610.1,AT1G48610,,1.62,UP,7.59,0.5885,AT hook motif-containing protein
AT1G48620.1,AT1G48620,HON5,1.04,UP,15.62,1,high mobility group A5
AT1G48630.1,AT1G48630,RACK1B_AT,1.33,DOWN,41.33,0.4516,receptor for activated C kinase 1B
AT1G48750.1,AT1G48750,,2.35,DOWN,37.00,0.2258,bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein
AT1G48830.1,AT1G48830,,1.51,UP,79.35,0.1446,40S ribosomal protein S7-1
AT1G48850.3,AT1G48850,EMB1144,8.81,UP,4.76,0.5142,chorismate synthase
AT1G48900.1,AT1G48900,,1.22,DOWN,7.80,0.9159,signal recognition particle subunit SRP54
AT1G48920.1,AT1G48920,ATNUC-L1,1.04,DOWN,61.99,1,nucleolin
AT1G49010.1,AT1G49010,,4.34,UP,10.90,0.1346,myb/SANT-like DNA-binding domain-containing protein
AT1G49032.1,AT1G49032,,1.80,DOWN,17.97,0.5762,uncharacterized protein
AT1G49140.1,AT1G49140,,1.25,DOWN,125.00,0.5347,NADH dehydrogenase
AT1G49240.1,AT1G49240,ACT8,1.44,DOWN,90.76,0.0230,actin 8
AT1G49300.1,AT1G49300,ATRAB7,2.01,UP,20.15,0.1288,RAB GTPase homolog G3E
AT1G49310.1,AT1G49310,,1.25,DOWN,8.38,1,uncharacterized protein
AT1G49410.1,AT1G49410,TOM6,2.47,DOWN,35.75,0.3117,mitochondrial import receptor subunit TOM6-like protein
AT1G49470.1,AT1G49470,,1.67,DOWN,10.15,0.6108,uncharacterized protein
AT1G49500.1,AT1G49500,,3.27,DOWN,22.23,0.1884,uncharacterized protein
AT1G49600.1,AT1G49600,ATRBP47A,1.28,DOWN,16.23,0.5950,RNA-binding protein 47A
AT1G49650.1,AT1G49650,,2.68,DOWN,8.44,0.2576,alpha/beta-hydrolase domain-containing protein
AT1G49660.1,AT1G49660,AtCXE5,1.50,DOWN,28.32,0.4459,carboxyesterase 5
AT1G49700.2,AT1G49700,,1.96,UP,13.83,0.4779,uncharacterized protein
AT1G49750.1,AT1G49750,,2.19,UP,31.42,0.0105,leucine-rich repeat-like protein
AT1G49760.1,AT1G49760,PAB8,242.97,DOWN,5.90,0.6907,poly(A) binding protein 8
AT1G49760.2,AT1G49760,PAB8,1.23,DOWN,8.29,0.9666,poly(A) binding protein 8
AT1G49780.1,AT1G49780,PUB26,1.42,DOWN,11.24,0.7099,U-box domain-containing protein 26
AT1G49970.1,AT1G49970,SVR2,2.74,UP,25.37,0.0069,ATP-dependent Clp protease proteolytic subunit-related protein 1
AT1G49975.1,AT1G49975,,1.58,DOWN,38.58,0.5142,uncharacterized protein
AT1G50010.1,AT1G50010,TUA2,2.52,DOWN,106.05,0.0011,tubulin alpha-2/alpha-4 chain
AT1G50020.1,AT1G50020,,1.24,DOWN,23.11,0.9098,uncharacterized protein
AT1G50170.1,AT1G50170,ATSIRB,1.50,DOWN,8.83,0.8041,sirohydrochlorin ferrochelatase B
AT1G50200.1,AT1G50200,ACD,1.75,UP,16.06,0.0210,Alanyl-tRNA synthetase
AT1G50250.1,AT1G50250,FTSH1,1.39,DOWN,41.36,0.0748,cell division protease ftsH-1
AT1G50300.1,AT1G50300,TAF15,2.29,UP,7.52,0.2961,TBP-associated factor 15
AT1G50320.1,AT1G50320,THX,1.12,DOWN,74.96,0.9036,thioredoxin X
AT1G50370.1,AT1G50370,,1.78,DOWN,9.37,0.4005,phytochrome-associated serine/threonine protein phosphatase 1
AT1G50450.1,AT1G50450,,1.77,UP,10.92,0.3890,Saccharopine dehydrogenase
AT1G50480.1,AT1G50480,THFS,1.26,DOWN,40.08,0.3392,Formate--tetrahydrofolate ligase
AT1G50490.1,AT1G50490,UBC20,1.01,DOWN,9.66,1,ubiquitin-conjugating enzyme E2 20
AT1G50640.1,AT1G50640,ERF3,1.21,UP,20.56,0.8452,ethylene-responsive transcription factor 3
AT1G50670.1,AT1G50670,,2.55,UP,11.67,0.3420,ubiquitin thioesterase OTU1
AT1G50732.1,AT1G50732,,1.25,DOWN,31.42,0.9169,uncharacterized protein
AT1G50740.1,AT1G50740,,1.64,UP,14.92,0.7168,Transmembrane proteins 14C
AT1G50900.1,AT1G50900,GDC1,1.06,UP,47.56,1,Ankyrin repeat family protein
AT1G50910.1,AT1G50910,,1.67,DOWN,7.69,0.4336,uncharacterized protein
AT1G50920.1,AT1G50920,,1.65,UP,15.55,0.1414,putative nucleolar GTP-binding protein 1
AT1G51060.1,AT1G51060,HTA10,1.82,DOWN,89.07,0.0340,histone H2A 10
AT1G51070.1,AT1G51070,bHLH115,1.95,UP,17.63,0.2696,transcription factor bHLH115
AT1G51110.1,AT1G51110,,2.97,UP,18.88,0.1128,putative plastid-lipid-associated protein 12
AT1G51160.1,AT1G51160,,1.62,UP,25.43,0.5179,SNARE-like protein
AT1G51200.1,AT1G51200,,3.50,DOWN,65.22,0.0030,zinc finger A20 and AN1 domain-containing stress-associated protein 2
AT1G51200.2,AT1G51200,,1.36,UP,26.15,0.9667,zinc finger A20 and AN1 domain-containing stress-associated protein 2
AT1G51400.1,AT1G51400,,1.76,DOWN,254.45,0.0021,Photosystem II 5 kD protein
AT1G51500.1,AT1G51500,CER5,2.64,DOWN,28.81,0.0011,ABC transporter G family member 12
AT1G51510.1,AT1G51510,Y14,1.07,UP,37.69,1,RNA-binding protein 8A
AT1G51570.1,AT1G51570,,1.59,DOWN,33.66,0.0469,anthranilate phosphoribosyltransferase-like protein
AT1G51650.1,AT1G51650,,1.72,DOWN,270.28,0.0011,ATP synthase subunit epsilon
AT1G51700.1,AT1G51700,ADOF1,1.06,DOWN,8.34,1,Dof zinc finger protein DOF1.7
AT1G51710.1,AT1G51710,UBP6,1.55,UP,11.75,0.4446,ubiquitin carboxyl-terminal hydrolase 6
AT1G51730.1,AT1G51730,,2.50,DOWN,11.92,0.5691,ubiquitin-conjugating enzyme-like protein
AT1G51760.1,AT1G51760,IAR3,1.83,DOWN,9.37,0.5484,IAA-amino acid hydrolase ILR1-like 4
AT1G51950.1,AT1G51950,IAA18,5.39,DOWN,6.69,0.4569,auxin-responsive protein IAA18
AT1G51980.1,AT1G51980,,1.01,DOWN,13.30,1,putative mitochondrial-processing peptidase subunit alpha-1
AT1G51980.2,AT1G51980,,1.05,UP,13.18,1,putative mitochondrial-processing peptidase subunit alpha-1
AT1G52060.1,AT1G52060,,2.89,DOWN,6.58,0.5696,jacalin-like lectin domain-containing protein
AT1G52070.1,AT1G52070,,1.88,DOWN,10.53,0.4449,jacalin-like lectin domain-containing protein
AT1G52190.1,AT1G52190,,2.67,DOWN,22.11,0.0011,putative peptide transporter
AT1G52220.1,AT1G52220,,5.93,DOWN,96.88,0.4990,uncharacterized protein
AT1G52220.2,AT1G52220,,7572.29,UP,34.69,0.5672,uncharacterized protein
AT1G52220.3,AT1G52220,,1.50,DOWN,34.54,0.9425,uncharacterized protein
AT1G52230.1,AT1G52230,PSAH2,1.25,DOWN,819.72,0.0123,photosystem I reaction center subunit VI-2
AT1G52300.1,AT1G52300,,1.05,UP,122.67,1,60S ribosomal protein L37-2
AT1G52340.1,AT1G52340,SDR1,1.23,DOWN,11.74,1,Xanthoxin dehydrogenase
AT1G52342.1,AT1G52342,,4.34,DOWN,44.58,0.1155,uncharacterized protein
AT1G52400.1,AT1G52400,BGL1,1.42,UP,17.42,0.3987,beta glucosidase 18
AT1G52420.1,AT1G52420,,2.97,UP,8.14,0.1125,UDP-glycosyltransferase-like protein
AT1G52510.1,AT1G52510,,1.05,UP,18.01,1,alpha/beta-hydrolase domain-containing protein
AT1G52590.1,AT1G52590,,1.29,DOWN,24.68,0.8453,Putative thiol-disulfide oxidoreductase DCC
AT1G52600.1,AT1G52600,,1.25,UP,12.32,1,signal peptidase; endoplasmic reticulum-type
AT1G52618.1,AT1G52618,,1.39,DOWN,10.53,0.9493,uncharacterized protein
AT1G52670.1,AT1G52670,,1.57,DOWN,12.37,0.5672,biotin carboxyl carrier protein (BCCP) domain-containing protein
AT1G52720.1,AT1G52720,,2.57,UP,16.95,0.3604,uncharacterized protein
AT1G52730.2,AT1G52730,,4.39,UP,6.25,0.1753,transducin/WD-40 repeat-containing protein
AT1G52740.1,AT1G52740,HTA9,1.99,DOWN,121.64,0.0030,histone H2A protein 9
AT1G52760.1,AT1G52760,LysoPL2,1.30,UP,15.12,0.7574,lysophospholipase 2
AT1G52827.1,AT1G52827,CDT1,3.55,DOWN,97.75,0.2485,cadmium tolerance 1
AT1G52870.1,AT1G52870,,35660.42,UP,9.70,0.6799,Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
AT1G52870.2,AT1G52870,,1.18,UP,8.92,1,Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
AT1G52930.1,AT1G52930,,2.88,UP,9.64,0.3623,Ribosomal RNA processing Brix domain protein
AT1G52980.1,AT1G52980,,5.75,UP,9.60,0.0273,putativeGTP-binding protein 2
AT1G53030.1,AT1G53030,,1.78,DOWN,17.07,0.5971,Cytochrome C oxidase copper chaperone (COX17)
AT1G53210.1,AT1G53210,,1.37,DOWN,46.19,0.1424,calcium-binding EF-hand domain-containing protein
AT1G53233.1,AT1G53233,,1.17,DOWN,21.87,0.8276,other RNA
AT1G53240.1,AT1G53240,mMDH1,2.13,DOWN,77.54,0.0011,malate dehydrogenase 1
AT1G53280.1,AT1G53280,,1.46,UP,6.97,0.6144,4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis
AT1G53310.1,AT1G53310,PPC1,17671.71,UP,8.68,0.5672,phosphoenolpyruvate carboxylase 1
AT1G53310.2,AT1G53310,PPC1,1.89,DOWN,13.01,0.6014,phosphoenolpyruvate carboxylase 1
AT1G53320.1,AT1G53320,AtTLP7,2.29,UP,6.85,0.2486,Tubby-like F-box protein 7
AT1G53490.1,AT1G53490,,2.06,DOWN,9.17,0.2059,RING/U-box domain-containing protein
AT1G53500.1,AT1G53500,MUM4,1.23,DOWN,8.96,0.8285,UDP-glucose 4;6-dehydratase
AT1G53510.1,AT1G53510,ATMPK18,6.48,UP,7.55,0.0858,mitogen-activated protein kinase 18
AT1G53520.1,AT1G53520,,1.46,DOWN,15.33,0.7737,chalcone isomerase-like protein
AT1G53541.1,AT1G53541,,2.83,DOWN,1358.95,0.5719,uncharacterized protein
AT1G53560.1,AT1G53560,,1.61,UP,23.28,0.6108,Ribosomal protein L18ae family
AT1G53570.3,AT1G53570,MAPKKK3,2.77,UP,6.99,0.1240,mitogen-activated protein kinase kinase kinase 3
AT1G53580.1,AT1G53580,GLY3,1.57,DOWN,9.64,0.8008,glyoxalase II 3
AT1G53580.2,AT1G53580,GLY3,3.64,UP,7.36,0.5672,glyoxalase II 3
AT1G53645.1,AT1G53645,,1.24,UP,7.44,0.8291,hydroxyproline-rich glycoprotein-like protein
AT1G53670.1,AT1G53670,MSRB1,1.96,UP,13.15,0.6767,peptide methionine sulfoxide reductase B1
AT1G53670.2,AT1G53670,MSRB1,1184.30,DOWN,5.90,0.6771,peptide methionine sulfoxide reductase B1
AT1G53750.1,AT1G53750,RPT1A,1.20,UP,31.24,0.6141,regulatory particle triple-A 1A
AT1G53801.1,AT1G53801,,2.45,UP,12.77,0.6010,other RNA
AT1G53840.1,AT1G53840,ATPME1,1.22,UP,14.53,0.7121,pectinesterase 1
AT1G53850.1,AT1G53850,PAE1,3.86,UP,14.61,0.5403,proteasome subunit alpha type-5-A
AT1G53850.2,AT1G53850,PAE1,5058.72,DOWN,6.90,0.6924,proteasome subunit alpha type-5-A
AT1G53910.3,AT1G53910,RAP2.12,1.08,DOWN,19.76,1,ethylene-responsive transcription factor RAP2-12
AT1G54000.1,AT1G54000,,1.35,DOWN,22.60,0.5281,GDSL esterase/lipase
AT1G54010.1,AT1G54010,,1.82,DOWN,36.55,0.0383,GDSL esterase/lipase
AT1G54030.1,AT1G54030,MVP1,1.10,UP,15.14,1,GDSL esterase/lipase
AT1G54040.1,AT1G54040,TASTY,1.05,DOWN,7.09,1,epithiospecifier protein
AT1G54080.2,AT1G54080,UBP1A,1.30,DOWN,17.55,0.5681,oligouridylate-binding protein 1A
AT1G54100.2,AT1G54100,ALDH7B4,1.24,UP,15.62,0.9261,aldehyde dehydrogenase 7B4
AT1G54130.1,AT1G54130,RSH3,2.50,UP,8.41,0.1446,RELA/SPOT homolog 3
AT1G54210.1,AT1G54210,ATG12A,1.86,DOWN,9.09,0.8645,ubiquitin-like protein ATG12A
AT1G54270.1,AT1G54270,EIF4A-2,3.82,DOWN,17.25,0.0977,translation initiation factor 4A-2
AT1G54270.2,AT1G54270,EIF4A-2,3327.06,UP,6.18,0.5672,translation initiation factor 4A-2
AT1G54290.1,AT1G54290,,1.67,DOWN,21.21,0.5311,protein translation factor SUI1-2
AT1G54320.1,AT1G54320,,2.47,DOWN,14.48,0.1414,ALA-interacting subunit 3
AT1G54350.1,AT1G54350,,1.71,UP,7.42,0.4289,ABC transporter D family member 2
AT1G54355.1,AT1G54355,,3.97,UP,6.40,0.4923,other RNA
AT1G54360.1,AT1G54360,TAF6B,6.81,UP,6.21,0.4744,TBP-associated factor 6B
AT1G54410.1,AT1G54410,,3.65,UP,553.50,0.0011,dehydrin family protein
AT1G54500.1,AT1G54500,,2.58,DOWN,87.77,0.0011,rubredoxin-like protein
AT1G54520.1,AT1G54520,,2.07,UP,19.55,0.1110,uncharacterized protein
AT1G54580.1,AT1G54580,ACP2,3.24,DOWN,108.81,0.0011,acyl carrier protein 2
AT1G54630.1,AT1G54630,ACP3,2.65,DOWN,150.50,0.0011,acyl carrier protein 3
AT1G54630.2,AT1G54630,ACP3,3.68,DOWN,6.13,0.7641,acyl carrier protein 3
AT1G54690.1,AT1G54690,G-H2AX,1.05,UP,12.26,1,gamma histone variant H2AX
AT1G54740.1,AT1G54740,,1.18,UP,14.71,1,uncharacterized protein
AT1G54780.1,AT1G54780,TLP18.3,1.26,UP,162.53,0.1446,thylakoid lumen 18.3 kDa protein
AT1G54920.1,AT1G54920,,4.07,UP,5.83,0.1531,uncharacterized protein
AT1G54970.1,AT1G54970,ATPRP1,1.17,DOWN,12.08,1,proline-rich protein 1
AT1G54990.1,AT1G54990,RGR,1.55,DOWN,7.38,0.6382,protein auxin RESPONSE 4
AT1G55000.1,AT1G55000,,333.14,DOWN,8.07,0.5672,invertase/pectin methylesterase inhibitor family protein
AT1G55010.1,AT1G55010,PDF1.5,4.25,DOWN,33.76,0.7625,defensin-like protein 18
AT1G55080.1,AT1G55080,MED9,3.23,UP,5.43,0.4879,uncharacterized protein
AT1G55140.1,AT1G55140,,1.30,DOWN,9.79,1,Ribonuclease III-like protein
AT1G55160.1,AT1G55160,,2.88,UP,11.92,0.3999,uncharacterized protein
AT1G55190.1,AT1G55190,PRA1.F2,2.50,DOWN,10.65,0.5672,PRA1 family protein F2
